knowledge_area,pm_process_group,no,process
プロジェクト・コスト・マネジメント,計画プロセス群,1,コスト・マネジメントの計画
プロジェクト・コスト・マネジメント,計画プロセス群,2,コストの見積り
プロジェクト・コスト・マネジメント,計画プロセス群,3,予算の設定
プロジェクト・コスト・マネジメント,監視・コントロール・プロセス群,1,コストのコントロール
プロジェクト品質マネジメント,計画プロセス群,1,品質マネジメントの計画
プロジェクト品質マネジメント,実行プロセス群,1,品質のマネジメント
プロジェクト品質マネジメント,監視・コントロール・プロセス群,1,品質のコントロール
プロジェクト資源マネジメント,計画プロセス群,1,資源マネジメントの計画
プロジェクト資源マネジメント,計画プロセス群,2,アクティビティ資源の見積り
プロジェクト資源マネジメント,実行プロセス群,1,資源の獲得
プロジェクト資源マネジメント,実行プロセス群,2,チームの育成
プロジェクト資源マネジメント,実行プロセス群,3,チームのマネジメント
プロジェクト資源マネジメント,監視・コントロール・プロセス群,1,資源のコントロール
プロジェクト・コミュニケーション・マネジメント,計画プロセス群,1,コミュニケーション・マネジメントの計画
プロジェクト・コミュニケーション・マネジメント,実行プロセス群,1,コミュニケーションのマネジメント
プロジェクト・コミュニケーション・マネジメント,監視・コントロール・プロセス群,1,コミュニケーションの監視
プロジェクト・ステークホルダー・マネジメント,立上げプロセス群,1,ステークホルダーの特定
プロジェクト・ステークホルダー・マネジメント,計画プロセス群,1,ステークホルダー・エンゲージメントの計画
プロジェクト・ステークホルダー・マネジメント,実行プロセス群,1,ステークホルダー・エンゲージメントのマネジメント
プロジェクト・ステークホルダー・マネジメント,監視・コントロール・プロセス群,1,ステークホルダー・エンゲージメントの監視
プロジェクト・リスク・マネジメント,計画プロセス群,1,リスク・マネジメントの計画
プロジェクト・リスク・マネジメント,計画プロセス群,2,リスクの特定
プロジェクト・リスク・マネジメント,計画プロセス群,3,リスクの定性的分析
プロジェクト・リスク・マネジメント,計画プロセス群,4,リスクの定量的分析
プロジェクト・リスク・マネジメント,計画プロセス群,5,リスク対応の計画
プロジェクト・リスク・マネジメント,実行プロセス群,1,リスク対応策の実行
プロジェクト・リスク・マネジメント,監視・コントロール・プロセス群,1,リスクの監視
プロジェクト調達マネジメント,計画プロセス群,1,調達マネジメントの計画
プロジェクト調達マネジメント,実行プロセス群,1,調達の実行
プロジェクト調達マネジメント,監視・コントロール・プロセス群,1,調達のコントロール
